Title	"Direct Mount"			"LD_PRELOAD"			Direct-FUSE			DEFUSE			FUSE			"FUSE Direct I/O"		
read	9.044841563	5.689127581	12.40055554	7.978663481	7.837242125	8.120084837	9.94312842	9.801707064	10.08454978	8.703505332	7.013196823	10.39381384	818.4810261	606.1996947	1030.762358	1039.237579	1036.964759	1041.5104
write	8.813031803	6.996553937	10.62950967	8.308329361	1.944368331	14.67229039	9.688296514	3.324335483	16.05225754	9.273053938	6.201392817	12.34471506	32783.07992	32780.76017	32785.39967	1040.393885	1036.768577	1044.019193
