Test	Direct			DEFUSE			FUSE		
Read	0.05602277129	0.05176596884	0.06027957373	0.4953019918	0.4810566419	0.5095473417	0.5000516973	0.4805131498	0.5195902447
Write	0.4082844446	0.377149089	0.4394198003	0.4953019918	0.4423211141	0.5482828695	0.8970771632	0.8286669731	0.9654873533
