Title	"LD_PRELOAD"			Direct-FUSE			DEFUSE			FUSE			"FUSE Direct I/O"		
ext4	76.92454187	70.46911827	83.37996547	76.47300898	70.01758538	82.92843258	72.8268607	62.9864352	82.66728619	22.68118218	20.12025894	25.24210542	22.56783611	19.31700808	25.81866415
jfs	87.33536669	80.65097438	94.019759	86.82272417	80.13833186	93.50711648	76.74411395	70.34080175	83.14742616	44.88613386	41.85410095	47.91816677	44.15883214	41.8809367	46.43672758
fat	98.91786677	98.41582067	99.41991287	98.33723711	97.83519101	98.83928321	98.71612014	97.87667838	99.5555619	19.33076019	18.13966922	20.52185116	19.31203649	18.33751236	20.28656062
tmpfs	74.46963321	63.97374485	84.96552158	74.03251018	63.53662182	84.52839855	64.19951873	56.01483687	72.3842006	13.8203711	11.09574527	16.54499693	13.40032744	11.312983	15.48767187
