Title	"Direct Mount"			"LD_PRELOAD"			Direct-FUSE			DEFUSE			FUSE			"FUSE Direct I/O"		
read	8.555191775	6.810111226	10.30027232	10.9704979	4.509437142	17.43155866	9.404849149	2.94378839	15.86590991	8.555191775	6.810111226	10.30027232	8203.079749	8201.030957	8205.128542	8203.2392	8199.57715	8206.90125
write	8.974712655	5.838095473	12.11132984	11.2093239	4.791841401	17.6268064	9.866034672	3.448552172	16.28351717	9.21398812	5.275222127	13.15275411	41458.15788	41168.7818	41747.53397	10204.7256	9915.039796	10494.41141
