Title	"Direct Mount"			"LD_PRELOAD"			Direct-FUSE			DEFUSE			FUSE			"FUSE Direct I/O"		
read	8.383842198	7.849319714	8.918364681	8.258321531	2.02359325	14.49304981	9.216482018	2.981753737	15.4512103	8.599263259	4.097608235	13.10091828	16394.73988	16392.70137	16396.77838	16394.25997	16393.33835	16395.1816
write	9.060547264	5.84775396	12.27334057	8.204572643	1.392188961	15.01695633	9.96039393	3.148010248	16.77277761	8.846275087	6.995075806	10.69747437	20398.05719	19819.0327	20977.08169	20398.2912	19819.08938	20977.49301
